year,character,index,region,security,avg.price,name,size,address,supply,people,rate,rank,sum,value,d.sub,d.hos,cut
2021 1차,청년매입,재공급,마포구,58.6,5079,진흥하임시티,22,서울특별시 마포구 성미산로 21(진흥하임시티),1,290,290,1순위,11,142800,180,970,31
2021 1차,청년매입,재공급,마포구,58.6,5079,진흥하임시티,22,서울특별시 마포구 성미산로 21(진흥하임시티),1,290,290,1순위,11,142800,180,970,31
2021 1차,청년매입,재공급,마포구,58.6,5079,진흥하임시티,22,서울특별시 마포구 성미산로 21(진흥하임시티),1,290,290,1순위,11,142800,180,970,31
2022 2차,청년매입,재공급,서초구,60.32,7772,동우빌라트 서초,29,"서울특별시 서초구 효령로46길 32-5 (서초동 1481-14, 동우빌라트 서초)",1,120,120,1순위,10,419700,650,510,30
2022 2차,청년매입,재공급,서초구,60.32,7772,동우빌라트 서초,29,"서울특별시 서초구 효령로46길 32-5 (서초동 1481-14, 동우빌라트 서초)",1,120,120,1순위,10,419700,650,510,30
2022 2차,청년매입,재공급,서초구,60.32,7772,동우빌라트 서초,29,"서울특별시 서초구 효령로46길 32-5 (서초동 1481-14, 동우빌라트 서초)",1,120,120,1순위,10,419700,650,510,30
2022 2차,역세권 청년,재공급,용산구,56.21,6006,용산베르디움프렌즈,19,용산구 한강로 2가 2-350,1,986,986,1순위 ,10,133000,150,120,30
2022 2차,역세권 청년,재공급,용산구,56.21,6006,용산베르디움프렌즈,19,용산구 한강로 2가 2-350,1,986,986,1순위 ,10,133000,150,120,30
2022 2차,역세권 청년,재공급,용산구,56.21,6006,용산베르디움프렌즈,19,용산구 한강로 2가 2-350,1,986,986,1순위 ,10,133000,150,120,30
2022 1차,청년매입,재공급,광진구,57.31,5095,더리치,27,"광진구 긴고랑로1길 35, 중곡동 235-22외",1,150,150,1순위,10,230100,600,710,30
2022 1차,청년매입,재공급,광진구,57.31,5095,더리치,27,"광진구 긴고랑로1길 35, 중곡동 235-22외",1,150,150,1순위,10,230100,600,710,30
2022 1차,청년매입,재공급,광진구,57.31,5095,더리치,27,"광진구 긴고랑로1길 35, 중곡동 235-22외",1,150,150,1순위,10,230100,600,710,30
2022 1차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 가동,55,"동대문구 천호대로89길 51, 장안동 445-3",1,283,283,1순위,10,262100,530,390,30
2022 1차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 나동,56,"동대문구 천호대로89길 51, 장안동 445-3",1,301,301,1순위,10,262100,530,390,30
2022 1차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 가동,55,"동대문구 천호대로89길 51, 장안동 445-3",1,283,283,1순위,10,262100,530,390,30
2022 1차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 나동,56,"동대문구 천호대로89길 51, 장안동 445-3",1,301,301,1순위,10,262100,530,390,30
2022 1차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 가동,55,"동대문구 천호대로89길 51, 장안동 445-3",1,283,283,1순위,10,262100,530,390,30
2022 1차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 나동,56,"동대문구 천호대로89길 51, 장안동 445-3",1,301,301,1순위,10,262100,530,390,30
2022 1차,청년매입,신규공급,마포구,58.6,5079,연남하이츠,49,"마포구 성미산로19길 78, 연남하이츠 (연남동 478-4)",1,142,142,1순위,10,557300,350,290,30
2022 1차,청년매입,신규공급,마포구,58.6,5079,연남하이츠,49,"마포구 성미산로19길 78, 연남하이츠 (연남동 478-4)",1,142,142,1순위,10,557300,350,290,30
2022 1차,청년매입,신규공급,마포구,58.6,5079,연남하이츠,49,"마포구 성미산로19길 78, 연남하이츠 (연남동 478-4)",1,142,142,1순위,10,557300,350,290,30
2022 1차,청년매입,신규공급,성북구,57.7,3716,인화빌5,39,"성북구 장월로28길 49, 인화빌5 (장위동 77-58외)",1,35,35,1순위,10,302800,300,210,30
2022 1차,청년매입,신규공급,성북구,57.7,3716,인화빌5,39,"성북구 장월로28길 49, 인화빌5 (장위동 77-58외)",1,35,35,1순위,10,302800,300,210,30
2022 1차,청년매입,신규공급,성북구,57.7,3716,인화빌5,39,"성북구 장월로28길 49, 인화빌5 (장위동 77-58외)",1,35,35,1순위,10,302800,300,210,30
2021 2차,청년매입,재공급,광진구,57.31,5095,자양에스하임11,30,"아차산로46가길 10-3, 자양동 218-9",1,117,117,1순위,10,228900,480,170,30
2021 2차,청년매입,재공급,광진구,57.31,5095,자양에스하임11,30,"아차산로46가길 10-3, 자양동 218-9",1,117,117,1순위,10,228900,480,170,30
2021 2차,청년매입,재공급,광진구,57.31,5095,자양에스하임11,30,"아차산로46가길 10-3, 자양동 218-9",1,117,117,1순위,10,228900,480,170,30
2021 2차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 나동,59,"천호대로89길 51, 장안동 445-3",1,112,112,1순위,10,299400,580,100,30
2021 2차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 나동,59,"천호대로89길 51, 장안동 445-3",1,112,112,1순위,10,299400,580,100,30
2021 2차,청년매입,재공급,동대문구,53.51,3871,더존에이스빌 나동,59,"천호대로89길 51, 장안동 445-3",1,112,112,1순위,10,299400,580,100,30
2021 1차,청년매입,재공급,성북구,57.7,3716,광진홈,17,서울특별시 성북구 솔샘로6가길 42(광진홈),1,54,54,1순위,10,76600,150,650,30
2021 1차,청년매입,재공급,성북구,57.7,3716,광진홈,17,서울특별시 성북구 솔샘로6가길 42(광진홈),1,54,54,1순위,10,76600,150,650,30
2021 1차,청년매입,재공급,성북구,57.7,3716,광진홈,17,서울특별시 성북구 솔샘로6가길 42(광진홈),1,54,54,1순위,10,76600,150,650,30
2022 2차,청년매입,신규공급,송파구,58.76,6161,,26,"서울특별시 송파구 가락로5길 13-15, 동명칭 없음 (석촌동 243-1)",6,184,30.7,1순위,9,352200,548,950,29
2022 2차,청년매입,신규공급,송파구,58.76,6161,,50,"서울특별시 송파구 가락로5길 13-15, 동명칭 없음 (석촌동 243-1)",2,374,187,1순위,9,312200,548,950,29
2022 2차,청년매입,신규공급,송파구,58.76,6161,,26,"서울특별시 송파구 가락로5길 13-15, 동명칭 없음 (석촌동 243-1)",6,184,30.7,1순위,9,352200,548,950,29
2022 2차,청년매입,신규공급,송파구,58.76,6161,,50,"서울특별시 송파구 가락로5길 13-15, 동명칭 없음 (석촌동 243-1)",2,374,187,1순위,9,312200,548,950,29
2022 2차,청년매입,신규공급,송파구,58.76,6161,,26,"서울특별시 송파구 가락로5길 13-15, 동명칭 없음 (석촌동 243-1)",6,184,30.7,1순위,9,352200,548,950,29
2022 2차,청년매입,신규공급,송파구,58.76,6161,,50,"서울특별시 송파구 가락로5길 13-15, 동명칭 없음 (석촌동 243-1)",2,374,187,1순위,9,312200,548,950,29
2022 1차,청년매입,재공급,노원구,55.3,3722,동원힐하스,21,"노원구 공릉로26길 28, 공릉동 645-16",1,108,108,1순위,9,81900,490,180,29
2022 1차,청년매입,재공급,노원구,55.3,3722,동원힐하스,21,"노원구 공릉로26길 28, 공릉동 645-16",1,108,108,1순위,9,81900,490,180,29
2022 1차,청년매입,재공급,노원구,55.3,3722,동원힐하스,21,"노원구 공릉로26길 28, 공릉동 645-16",1,108,108,1순위,9,81900,490,180,29
2022 1차,청년매입,신규공급,동작구,55.6,4811,성지파크빌,32,"동작구 남부순환로255길 16, 성지파크빌(사당동 303-42)",2,192,96,1순위,9,277500,510,1000,29
2022 1차,청년매입,신규공급,동작구,55.6,4811,성지파크빌,32,"동작구 남부순환로255길 16, 성지파크빌(사당동 303-42)",2,192,96,1순위,9,277500,510,1000,29
2022 1차,청년매입,신규공급,동작구,55.6,4811,성지파크빌,32,"동작구 남부순환로255길 16, 성지파크빌(사당동 303-42)",2,192,96,1순위,9,277500,510,1000,29
2022 1차,청년매입,신규공급,마포구,58.6,5079,드림하우징,32,"마포구 와우산로21길 31-19, 드림하우징 (서교동 364-13)",2,124,62,1순위,9,295000,280,120,29
2022 1차,청년매입,신규공급,마포구,58.6,5079,드림하우징,32,"마포구 와우산로21길 31-19, 드림하우징 (서교동 364-13)",2,124,62,1순위,9,295000,280,120,29
2022 1차,청년매입,신규공급,마포구,58.6,5079,드림하우징,32,"마포구 와우산로21길 31-19, 드림하우징 (서교동 364-13)",2,124,62,1순위,9,295000,280,120,29
2021 1차,청년매입,재공급,광진구,57.31,5095,자양에스하임11,29,서울특별시 광진구 아차산로 46가길 10-3(자양에스하임11),2,467,233.5,1순위,9,228900,480,170,29
2021 1차,청년매입,재공급,광진구,57.31,5095,자양에스하임11,29,서울특별시 광진구 아차산로 46가길 10-3(자양에스하임11),2,467,233.5,1순위,9,228900,480,170,29
2021 1차,청년매입,재공급,광진구,57.31,5095,자양에스하임11,29,서울특별시 광진구 아차산로 46가길 10-3(자양에스하임11),2,467,233.5,1순위,9,228900,480,170,29
2021 1차,청년매입,재공급,마포구,58.6,5079,대명파크뷰,29,서울특별시 마포구 포은로 91(대명파크뷰),2,537,268.5,1순위,9,184500,570,860,29
2021 1차,청년매입,재공급,마포구,58.6,5079,대명파크뷰,29,서울특별시 마포구 포은로 91(대명파크뷰),2,537,268.5,1순위,9,184500,570,860,29
2021 1차,청년매입,재공급,마포구,58.6,5079,대명파크뷰,29,서울특별시 마포구 포은로 91(대명파크뷰),2,537,268.5,1순위,9,184500,570,860,29
2022 2차,청년매입,신규공급,강남구,59.1,8432,희준빌,34,"서울특별시 강남구 논현로121길 35, 희준빌 (논현동 173-5)",2,420,210,1순위,8,420900,360,270,28
2022 2차,청년매입,신규공급,강남구,59.1,8432,희준빌,34,"서울특별시 강남구 논현로121길 35, 희준빌 (논현동 173-5)",2,420,210,1순위,8,420900,360,270,28
2022 2차,청년매입,신규공급,강남구,59.1,8432,희준빌,34,"서울특별시 강남구 논현로121길 35, 희준빌 (논현동 173-5)",2,420,210,1순위,8,420900,360,270,28
2022 2차,청년매입,신규공급,강동구,57.75,4686,Hwells PARK 천호1,43,"서울특별시 강동구 진황도로29길 35-3, Hwells PARK 천호1 (천호동 167-32)",1,500,500,1순위,8,294000,783,200,28
2022 2차,청년매입,신규공급,강동구,57.75,4686,허브빌,32,"서울특별시 강동구 올림픽로98가길 31-6, 허브빌 (암사동 493-15)",2,100,50,1순위,8,224000,440,610,28
2022 2차,청년매입,신규공급,강동구,57.75,4686,Hwells PARK 천호1,43,"서울특별시 강동구 진황도로29길 35-3, Hwells PARK 천호1 (천호동 167-32)",1,500,500,1순위,8,294000,783,200,28
2022 2차,청년매입,신규공급,강동구,57.75,4686,허브빌,32,"서울특별시 강동구 올림픽로98가길 31-6, 허브빌 (암사동 493-15)",2,100,50,1순위,8,224000,440,610,28
2022 2차,청년매입,신규공급,강동구,57.75,4686,Hwells PARK 천호1,43,"서울특별시 강동구 진황도로29길 35-3, Hwells PARK 천호1 (천호동 167-32)",1,500,500,1순위,8,294000,783,200,28
2022 2차,청년매입,신규공급,강동구,57.75,4686,허브빌,32,"서울특별시 강동구 올림픽로98가길 31-6, 허브빌 (암사동 493-15)",2,100,50,1순위,8,224000,440,610,28
2022 2차,청년매입,신규공급,관악구,52.54,3584,신림파크빌,44,"서울특별시 관악구 남부순환로155길 30, 신림파크빌 (신림동 505-10)",2,309,154.5,1순위,8,387500,550,270,28
